5	5	0	-1
5	5	92857	-1
24	5	970896	-1
23	5	975695	-1
22	23	980901	-1
5	22	981845	0
26	5	1053148	-1
5	26	1054169	-1
26	5	1054348	1
5	26	1054774	0
28	5	1079191	-1
27	5	1239640	-1
5	27	1242382	0
12	5	1513680	-1
17	5	1977973	-1
22	5	1978462	-1
22	5	1978636	-1
16	5	1981512	0
5	22	1982581	0
15	17	1984468	-1
8	5	1989038	-1
5	8	1993037	-1
7	5	1998094	0
5	7	1998500	1
3	5	2008611	-1
5	3	2009093	0
3	5	2009184	0
2	5	2009911	-1
6	5	2010548	-1
5	6	2010611	-1
6	5	2011644	-1
21	2	2019709	-1
19	20	2021985	-1
19	3	2022023	-1
21	5	2022868	-1
9	5	2026378	-1
13	5	2027023	0
18	5	2029063	0
5	11	2036251	1
1	5	2039811	-1
1	3	2039867	1
1	17	2039914	-1
14	16	2040051	1
14	15	2040120	-1
1	13	2040227	-1
25	22	2048525	-1
4	5	2091783	-1
4	3	2091813	-1
10	5	2091830	-1
10	11	2092113	-1
4	8	2093284	-1
5	4	2093375	-1
4	2	2093411	-1
4	5	2093783	1
0	2	2095432	-1
0	9	2095486	-1
0	1	2095638	-1
2	0	2099424	-1
0	2	2099750	-1
0	2	2099814	-1
3	5	2101348	0
3	5	2101447	-1
2	0	2102349	-1
2	0	2102442	-1
2	0	2102636	0
0	2	2102870	-1
0	2	2103031	-1
0	2	2103486	-1
2	0	2103506	0
0	2	2103608	-1
0	2	2103948	-1
2	0	2104113	0
2	0	2104176	-1
0	2	2104325	-1
2	0	2104345	0
2	0	2104404	-1
0	2	2104417	-1
2	0	2104618	-1
2	0	2104657	-1
0	2	2104696	-1
2	4	2104735	0
0	2	2105072	-1
2	0	2105123	-1
2	0	2105188	0
0	2	2105194	0
0	2	2105403	-1
0	2	2105623	-1
2	0	2106207	-1
2	0	2106389	-1
2	0	2106449	0
0	2	2108453	-1
0	2	2108822	-1
0	2	2108913	-1
2	0	2109393	-1
5	2	2109851	1
0	2	2109935	0
0	5	2110017	0
5	0	2110096	-1
0	2	2110121	0
0	5	2110304	-1
2	0	2110326	-1
5	0	2110351	-1
5	0	2110522	0
0	5	2110568	-1
0	2	2110688	-1
0	2	2110754	-1
0	2	2110807	0
0	5	2110845	0
5	0	2110883	-1
5	0	2110983	-1
5	0	2111062	0
5	0	2111298	1
5	0	2111522	-1
5	2	2111584	0
5	5	2111824	1
2	5	2111910	-1
5	2	2112013	-1
2	0	2112104	-1
2	0	2112213	-1
5	2	2112280	0
0	5	2113583	0
0	5	2113693	0
0	5	2113786	0
0	5	2113856	-1
5	0	2113861	-1
5	0	2113901	0
0	5	2113927	0
5	0	2113966	-1
0	5	2113995	0
5	0	2114050	-1
0	5	2114100	-1
5	0	2114118	-1
0	5	2114194	-1
5	0	2114290	0
5	0	2114315	0
0	2	2114321	-1
0	5	2114412	-1
5	0	2114470	0
5	0	2114561	0
0	2	2114583	-1
5	2	2114627	1
0	5	2114726	-1
5	0	2114753	-1
0	5	2114813	-1
5	0	2114838	-1
0	5	2114867	0
5	0	2114876	-1
5	5	2114909	-1
0	5	2114956	-1
0	5	2115040	-1
0	5	2115080	0
5	0	2115090	1
5	0	2115129	-1
0	5	2115158	-1
5	0	2115187	0
5	0	2115228	0
0	5	2115275	-1
5	0	2115327	0
5	0	2115374	0
0	5	2115392	0
5	0	2115616	-1
0	5	2115703	1
5	0	2115726	0
0	5	2115755	-1
0	5	2115800	0
0	5	2115977	-1
5	0	2116106	-1
5	0	2116118	0
5	0	2116148	0
5	0	2116323	0
0	5	2116795	-1
5	0	2116840	-1
0	5	2117262	-1
5	0	2117432	-1
0	5	2122275	-1
5	0	2122536	0
2	5	2123122	-1
5	2	2123176	0
5	5	2123213	-1
1	3	2124087	1
1	3	2124151	1
0	5	2124151	-1
0	5	2124640	-1
5	0	2124939	0
5	0	2124987	0
1	0	2131680	-1
0	0	2138584	-1
0	5	2138605	-1
5	0	2156364	-1
5	0	2156429	1
0	5	2163608	-1
0	5	2163666	-1
5	0	2164439	-1
0	5	2165729	-1
5	0	2166165	0
0	5	2166387	-1
5	0	2166498	-1
0	5	2167367	-1
5	0	2167553	0
5	2	2183665	1
